trackName,lyric_line,lyric_full
親愛的對象,"['電影 關於我和鬼變成家人的那件事 主題曲', '有些事 太固執', '也許是 在等你 推翻 解答', '多不平常', '我 也放棄線索 預設立場', '沒對錯 又怎樣', '好在我們 從不必說明', '什麼關係 都沒關係', '很單純 很嚮往', '尋找親愛的對象 本質一樣', '真的存在 這種感情', '依賴沒必要 再小心翼翼', '你有接住我的方法', '我去哪裡飛翔 你都會在場', '因為有差異', '才能從理解中 感覺 更熟悉', '在歲月留下 溫柔回憶', '試探 想沿著 時間線的推移', '好或壞 都待續', '好在我們 從不必說明', '什麼關係 都沒關係', '很單純 很嚮往', '尋找親愛的對象 本質一樣', '真的存在 這種感情', '依賴沒必要 再小心翼翼', '你有接住我的方法', '我去哪裡飛翔 你都會在場', '曾為誰受過傷', '很缺憾的時光', '在消散之前 就用愛原諒', '你遺落的願望', '我陪你 一起學不會放下', '但學會盼望', '最後我們 像家人貼近', '能給的關心 不只關心', '不約定 不勉強', '這種親愛的對象 彷彿更理想', '對的人可能 成為伴侶', '或關於你我 擁有了默契', '我有找到你的方法', '你去哪裡飛翔 我都會到場', '最後我們 像家人貼近', '能給的關心 不只關心', '不約定 不勉強', '這種親愛的對象 彷彿更理想', '對的人可能 成為伴侶', '或關於你我 擁有了默契', '陪伴是 我們擅長', '我的生命 少不了你 在場']",電影關於我和鬼變成家人的那件事主題曲有些事太固執也許是在等你推翻解答多不平常我也放棄線索預設立場沒對錯又怎樣好在我們從不必說明什麼關係都沒關係很單純很嚮往尋找親愛的對象本質一樣真的存在這種感情依賴沒必要再小心翼翼你有接住我的方法我去哪裡飛翔你都會在場因為有差異才能從理解中感覺更熟悉在歲月留下溫柔回憶試探想沿著時間線的推移好或壞都待續好在我們從不必說明什麼關係都沒關係很單純很嚮往尋找親愛的對象本質一樣真的存在這種感情依賴沒必要再小心翼翼你有接住我的方法我去哪裡飛翔你都會在場曾為誰受過傷很缺憾的時光在消散之前就用愛原諒你遺落的願望我陪你一起學不會放下但學會盼望最後我們像家人貼近能給的關心不只關心不約定不勉強這種親愛的對象彷彿更理想對的人可能成為伴侶或關於你我擁有了默契我有找到你的方法你去哪裡飛翔我都會到場最後我們像家人貼近能給的關心不只關心不約定不勉強這種親愛的對象彷彿更理想對的人可能成為伴侶或關於你我擁有了默契陪伴是我們擅長我的生命少不了你在場
Stars Align,[],
我是誰,"['狼殿下 主題曲', '習慣了黑的深邃', '再野 也無畏', '等星墜的餘輝 照亮誰', '流放者的同類', '藏著寂寞在防衛', '但溫柔總是無堅不摧', '我早就習慣獨自站在山頂眺望', '不需要聲勢浩蕩', '路在白天走靠太陽夜裡靠我目光照亮', '除了麻木的孤獨感 會讓我輸得慘', '我還沒碰到什麼其它讓我覺得真的難', '就算逆著風', '目光堅定氣勢洶', '我告訴自己憑著感覺一直沖', '就是在創造歷史中', '翻高山 走峭壁', '我獨自驚天動地', '沒有目的 沒顧忌', '才會讓我更加用力', '沒遇見你我是誰', '沒有你的我是誰', '沒有你 無所謂 我是誰', '習慣了黑的深邃', '再野也無畏', '看星墜的餘輝照亮誰', '流放者等同類', '藏著寂寞在防衛', '但溫柔總是無堅不摧', '我在漫無目的之中虛度', '又沒人催促', '無家可歸的漂流客在妄想找到歸宿', '早就沒了目的地像只盤旋的孤雁', '就在我快要放棄之前', '你突然出現', '帶給我光亮', '讓我在無窮盡的漆黑裡面找到方向', '不會再猶豫 不再四處張望', '你拿走我的在乎我的所有注意力', '但讓我知道我是誰也給我一個目的地', '沒遇見你我是誰', '沒有你的我是誰', '當懸絲的傀儡', '有過溫度的體會', '瞳孔裡不再是黑白灰', '冷漠是盔甲裡的人強忍的傷悲', '一滴淚就能被摧毀', '拒絕向宿命妥協因為心有所歸', '是你的 我不屬於誰', '沒遇見你我是誰', '沒有你的我是誰', '當懸絲的傀儡', '有過溫度的體會', '瞳孔裡不再是黑白灰', '瞳孔裡不再是黑白灰', '你知道 我是誰']",狼殿下主題曲習慣了黑的深邃再野也無畏等星墜的餘輝照亮誰流放者的同類藏著寂寞在防衛但溫柔總是無堅不摧我早就習慣獨自站在山頂眺望不需要聲勢浩蕩路在白天走靠太陽夜裡靠我目光照亮除了麻木的孤獨感會讓我輸得慘我還沒碰到什麼其它讓我覺得真的難就算逆著風目光堅定氣勢洶我告訴自己憑著感覺一直沖就是在創造歷史中翻高山走峭壁我獨自驚天動地沒有目的沒顧忌才會讓我更加用力沒遇見你我是誰沒有你的我是誰沒有你無所謂我是誰習慣了黑的深邃再野也無畏看星墜的餘輝照亮誰流放者等同類藏著寂寞在防衛但溫柔總是無堅不摧我在漫無目的之中虛度又沒人催促無家可歸的漂流客在妄想找到歸宿早就沒了目的地像只盤旋的孤雁就在我快要放棄之前你突然出現帶給我光亮讓我在無窮盡的漆黑裡面找到方向不會再猶豫不再四處張望你拿走我的在乎我的所有注意力但讓我知道我是誰也給我一個目的地沒遇見你我是誰沒有你的我是誰當懸絲的傀儡有過溫度的體會瞳孔裡不再是黑白灰冷漠是盔甲裡的人強忍的傷悲一滴淚就能被摧毀拒絕向宿命妥協因為心有所歸是你的我不屬於誰沒遇見你我是誰沒有你的我是誰當懸絲的傀儡有過溫度的體會瞳孔裡不再是黑白灰瞳孔裡不再是黑白灰你知道我是誰
惡之必要,"['不想是完美 崇拜我表面', '不曾出惡言 受傷含冤 也從不抱怨', '我曾以為 完美小姐 下個進階', '只要咬著牙 有一天也會', '獲得了愛 並非只是絕對', '內在的房間 陰暗的空間', '偶爾產生的邪惡 也要握手 或者和他親吻', '不需要責怪自己生了負面心 竟生了暗念', '渴愛激切 低吟眼淚 不分正負面 善惡是非', '我的惡 我的罪', '受了傷也從不抱怨 要準備訓練自己', '社會流行口號 正面力量 根本髒話而已', '惡裡暗中激情忌妒 擁抱自己內在不足', '人們不讓自己痛苦 只想與正面思考相處', '我說 我惡故我在', '我想 必要的使壞', '必要的臭 臉必要凶險 必要的崩壞', '惡是說誰 罪又是誰', '惡女是誰 我冷所以我美', '靈魂的形狀 只有自己看得清', '擁抱 那總是不夠高分的自己', '還不夠 還不夠 不夠痛 心狠與轉身就走', '一點點 惡之必要 一些些 壞之必要', '摔了摔 盤子 喝了喝 全都斷了斷', '說了說 天花亂墜 淚流滿了滿', '殘忍的霸凌 蔓生的情緒 不看就不再', '連痛苦都不給你 纏綿的權 力', '突發走音 先人自嘲 先人自嘲', '只想聽你 正面思考 正面思考', '我的好 我的壞', '這些年我不知道 原來逞強不是堅強', '容許我自己 喜歡自己不完美 帶他走四方', '惡裡暗中激情忌妒 擁抱自己內在不足', '人們不讓自己痛苦 只想與正面思考相處', '我說 我惡故我在', '我想 必要的使壞', '必要的臭 臉必要凶險 必要的崩壞', '惡是說誰 罪又是誰', '惡女是誰 我冷所以我美', '靈魂的形狀 只有自己看得清', '擁抱 那總是不夠高分的自己', '還不夠 還不夠 不夠痛 心狠與轉身就走', '惡之必要', '不想是完美 崇拜我表面', '不曾出惡言 受傷含冤也從不抱怨', '我曾以為 完美小姐 下個進階', '只要咬著牙有一天也會', '獲得了愛並非只是絕對', '內在的房間 陰暗的空間', '偶爾產生的邪惡 也要握手或者和他親吻', '不需要責怪自己生了負面心竟生了暗念', '渴愛激切低吟眼淚不分正負面善惡是非', '我的惡 我的罪 受了傷也從不抱 怨要準備訓練自己', '社會流行口 號正面力量根本 髒話 而已', '惡裡 暗中 激情 忌妒擁抱自己內在不 足', '人們不讓自己痛苦只想與 正面思 考相處', '我說我惡故我在', '我想必要的使壞', '必要的臭 臉必要凶險 必要的崩壞', '惡是說誰 罪又是誰', '惡女是誰 我冷所以我美', '靈魂的形狀只有自己看得清', '擁抱那總是不夠高分的自己', '還不夠 還不夠 不夠痛 心狠與轉身就走', '一點點惡之必要 一些些壞之必要', '摔了 摔 盤子喝 了喝 全都斷了斷', '說了 說 天花亂 墜 淚流滿了滿', '殘忍的霸凌 蔓生的情緒 不看就不再', '連痛苦都不給你纏綿的權 力', '突發走 音 先人自嘲 先人自嘲', '只想聽 你 正面思考 正面思考', '我的好 我的壞 這些年我不知道 原來逞強不是堅強', '容許我自己 喜歡自己不完美 帶他走 四方', '惡裡 暗中 激情 忌妒擁抱自己內在不 足', '人們不讓自己痛苦只想與 正面思 考相處', '我說我惡故我在', '我想必要的使壞', '必要的臭 臉必要凶險 必要的崩壞', '惡是說誰 罪又是誰', '惡女是誰 我冷所以我美', '靈魂的形狀只有自己看得清', '擁抱那總是不夠高分的自己', '還不夠 還不夠 不夠痛 心狠與轉身就走']",不想是完美崇拜我表面不曾出惡言受傷含冤也從不抱怨我曾以為完美小姐下個進階只要咬著牙有一天也會獲得了愛並非只是絕對內在的房間陰暗的空間偶爾產生的邪惡也要握手或者和他親吻不需要責怪自己生了負面心竟生了暗念渴愛激切低吟眼淚不分正負面善惡是非我的惡我的罪受了傷也從不抱怨要準備訓練自己社會流行口號正面力量根本髒話而已惡裡暗中激情忌妒擁抱自己內在不足人們不讓自己痛苦只想與正面思考相處我說我惡故我在我想必要的使壞必要的臭臉必要凶險必要的崩壞惡是說誰罪又是誰惡女是誰我冷所以我美靈魂的形狀只有自己看得清擁抱那總是不夠高分的自己還不夠還不夠不夠痛心狠與轉身就走一點點惡之必要一些些壞之必要摔了摔盤子喝了喝全都斷了斷說了說天花亂墜淚流滿了滿殘忍的霸凌蔓生的情緒不看就不再連痛苦都不給你纏綿的權力突發走音先人自嘲先人自嘲只想聽你正面思考正面思考我的好我的壞這些年我不知道原來逞強不是堅強容許我自己喜歡自己不完美帶他走四方惡裡暗中激情忌妒擁抱自己內在不足人們不讓自己痛苦只想與正面思考相處我說我惡故我在我想必要的使壞必要的臭臉必要凶險必要的崩壞惡是說誰罪又是誰惡女是誰我冷所以我美靈魂的形狀只有自己看得清擁抱那總是不夠高分的自己還不夠還不夠不夠痛心狠與轉身就走惡之必要不想是完美崇拜我表面不曾出惡言受傷含冤也從不抱怨我曾以為完美小姐下個進階只要咬著牙有一天也會獲得了愛並非只是絕對內在的房間陰暗的空間偶爾產生的邪惡也要握手或者和他親吻不需要責怪自己生了負面心竟生了暗念渴愛激切低吟眼淚不分正負面善惡是非我的惡我的罪受了傷也從不抱怨要準備訓練自己社會流行口號正面力量根本髒話而已惡裡暗中激情忌妒擁抱自己內在不足人們不讓自己痛苦只想與正面思考相處我說我惡故我在我想必要的使壞必要的臭臉必要凶險必要的崩壞惡是說誰罪又是誰惡女是誰我冷所以我美靈魂的形狀只有自己看得清擁抱那總是不夠高分的自己還不夠還不夠不夠痛心狠與轉身就走一點點惡之必要一些些壞之必要摔了摔盤子喝了喝全都斷了斷說了說天花亂墜淚流滿了滿殘忍的霸凌蔓生的情緒不看就不再連痛苦都不給你纏綿的權力突發走音先人自嘲先人自嘲只想聽你正面思考正面思考我的好我的壞這些年我不知道原來逞強不是堅強容許我自己喜歡自己不完美帶他走四方惡裡暗中激情忌妒擁抱自己內在不足人們不讓自己痛苦只想與正面思考相處我說我惡故我在我想必要的使壞必要的臭臉必要凶險必要的崩壞惡是說誰罪又是誰惡女是誰我冷所以我美靈魂的形狀只有自己看得清擁抱那總是不夠高分的自己還不夠還不夠不夠痛心狠與轉身就走
玫瑰少年,"['誰把誰的靈魂 裝進誰的身體', '誰把誰的身體 變成囹圄囚禁自己', '亂世總是最 不缺耳語', '哪種美麗會 喚來妒忌', '你並沒有罪 有罪是這世界', '生而為人無罪', '你不需要抱歉', '喧嘩如果不停', '讓我陪你安靜', '哪朵玫瑰 沒有荊棘', '最好的報復 是美麗', '最美的盛開 是反擊', '別讓誰去 改變了你', '你是你 或是妳 都行', '會有人 全心的 愛你', '多少次的重傷 多少次的冷語', '你離開後 世界可改變', '多少無知罪愆 事過不境遷', '永誌不忘記念 往事不如煙', '生而為人無罪', '你不需要抱歉', '喧嘩如果不停', '讓我陪你安靜', '哪朵玫瑰 沒有荊棘', '最好的報復 是美麗', '最美的盛開 是反擊', '別讓誰去 改變了你', '你是你 或是妳 都行', '會有人 全心的 愛你', '玫瑰少年 在我心裡', '綻放著 鮮豔的 傳奇', '我們都 從來沒 忘記', '你的控訴 沒有聲音', '卻傾訴 更多的 真理', '卻喚醒 無數的 真心']",誰把誰的靈魂裝進誰的身體誰把誰的身體變成囹圄囚禁自己亂世總是最不缺耳語哪種美麗會喚來妒忌你並沒有罪有罪是這世界生而為人無罪你不需要抱歉喧嘩如果不停讓我陪你安靜哪朵玫瑰沒有荊棘最好的報復是美麗最美的盛開是反擊別讓誰去改變了你你是你或是妳都行會有人全心的愛你多少次的重傷多少次的冷語你離開後世界可改變多少無知罪愆事過不境遷永誌不忘記念往事不如煙生而為人無罪你不需要抱歉喧嘩如果不停讓我陪你安靜哪朵玫瑰沒有荊棘最好的報復是美麗最美的盛開是反擊別讓誰去改變了你你是你或是妳都行會有人全心的愛你玫瑰少年在我心裡綻放著鮮豔的傳奇我們都從來沒忘記你的控訴沒有聲音卻傾訴更多的真理卻喚醒無數的真心
怪美的,"['垂涎的邪惡 陪我長大', '在軟爛中生長 社會營養', '過去坑疤的 讓我站穩了', '那些神醜的 評誰亂正的', '喔 我都笑哭了', '這什麼標準 急著決定適者生存', '愛我 恨我 非我', '有一些外在我 來自內在我', '聽誰說 錯的 對的', '說 美的 醜的', '若問我 我看我說', '我怪美的', '看不見我的美 是你瞎了眼', '稱讚的嘴臉 卻轉身吐口水', '審美的世界 誰有膽說那麼絕對', '真我 假我 自我', '看今天這個我 想要哪個我', '聽誰說 錯的 對的', '說 美的 醜的', '若問我 我看我說', '我怪美的', '一路背著太多道德 活著令人會喘', '任誰去傷 去想 去講 不相關就別管', '太婉轉的相處 靈魂拉扯 左右為難', '正負能量 全都吃掉', '美的 醜的 自有它存在的必要', '愛恨隨你各自喜好', '拒絕你的偽善擁抱', '想要活得顯耀 回應心中惡之必要', '誰說 錯的 對的', '說 美的 醜的', '若問我 我說我呢', '怪美的', '翻譯:賓狗單字', '垂涎的邪惡 陪我長大', '在軟爛中生長 社會營養', '過去坑疤的 讓我站穩了', '那些神醜的 評誰亂正的', '喔 我都笑哭了', '這什麼標準 急著決定適者生存', '愛我 恨我 非我', '有一些外在我 來自內在我', '聽誰說 錯的 對的', '說美的 醜的', '若問我 我看 我說', '我怪美的', '看不見我的美 是你瞎了眼', '稱讚的嘴臉 卻轉身吐口水', '審美的世界 誰有膽說那麼絕對', '真我 假我 自我 看今天這個我 想要哪個我', '聽誰說 錯的 對的', '說美的 醜的', '若問我 我看 我說', '我怪美的', '一路背著太多道德活著令人會喘', '任誰去傷去想去講不相關就別管', '太婉轉的相處 靈魂拉扯左右為難', '正負能量全都吃掉', '美的醜的自有他存在的必要', '愛恨隨你各自喜好', '拒絕你的偽善擁抱', '想要活得顯耀 回應心中惡之必要', '聽誰說 錯的 對的', '說美的 醜的', '若問我 我說我呢', '我怪美的']",垂涎的邪惡陪我長大在軟爛中生長社會營養過去坑疤的讓我站穩了那些神醜的評誰亂正的喔我都笑哭了這什麼標準急著決定適者生存愛我恨我非我有一些外在我來自內在我聽誰說錯的對的說美的醜的若問我我看我說我怪美的看不見我的美是你瞎了眼稱讚的嘴臉卻轉身吐口水審美的世界誰有膽說那麼絕對真我假我自我看今天這個我想要哪個我聽誰說錯的對的說美的醜的若問我我看我說我怪美的一路背著太多道德活著令人會喘任誰去傷去想去講不相關就別管太婉轉的相處靈魂拉扯左右為難正負能量全都吃掉美的醜的自有它存在的必要愛恨隨你各自喜好拒絕你的偽善擁抱想要活得顯耀回應心中惡之必要誰說錯的對的說美的醜的若問我我說我呢怪美的翻譯:賓狗單字垂涎的邪惡陪我長大在軟爛中生長社會營養過去坑疤的讓我站穩了那些神醜的評誰亂正的喔我都笑哭了這什麼標準急著決定適者生存愛我恨我非我有一些外在我來自內在我聽誰說錯的對的說美的醜的若問我我看我說我怪美的看不見我的美是你瞎了眼稱讚的嘴臉卻轉身吐口水審美的世界誰有膽說那麼絕對真我假我自我看今天這個我想要哪個我聽誰說錯的對的說美的醜的若問我我看我說我怪美的一路背著太多道德活著令人會喘任誰去傷去想去講不相關就別管太婉轉的相處靈魂拉扯左右為難正負能量全都吃掉美的醜的自有他存在的必要愛恨隨你各自喜好拒絕你的偽善擁抱想要活得顯耀回應心中惡之必要聽誰說錯的對的說美的醜的若問我我說我呢我怪美的
你也有今天,"['被最愛的人 當作月拋的玩偶', '被謊言 當作待宰的肥客', '在最幸福的雲端 被一腳踹落', '享受嗎 享受嗎', '被最貼心的擁抱 把真心爆破', '被最溫柔的手 痛下狠手', '被最寶貝的紅唇 反咬了一口', '你值得 你值得', '你 終於可以領會 什麼叫做因果', '你 終於可以學學 你給我的一課', '你 總算沒有辜負 我對你的祝賀', '終於 你也有今天', '看花花蝴蝶 如何變成女王蜂', '看綿羊 要如何反捕禽獸', '看脆弱眼淚 輪迴成金剛拳頭', '有趣嗎 有趣嗎', '你 終於可以領會 什麼叫做因果', '你 終於可以學學 你給我的一課', '你 總算沒有辜負 我對你的祝賀', '終於 你也有今天', '你那麼會 讓人死心', '這點心痛 利息都不夠', '你且等著 命運的幽默 細水長流', '你 終於可以證明 世上真有因果', '你 終於可以做做 你給我的惡夢', '你 千萬不要辜負 我對你的祝賀', '祝你 年年有今天']",被最愛的人當作月拋的玩偶被謊言當作待宰的肥客在最幸福的雲端被一腳踹落享受嗎享受嗎被最貼心的擁抱把真心爆破被最溫柔的手痛下狠手被最寶貝的紅唇反咬了一口你值得你值得你終於可以領會什麼叫做因果你終於可以學學你給我的一課你總算沒有辜負我對你的祝賀終於你也有今天看花花蝴蝶如何變成女王蜂看綿羊要如何反捕禽獸看脆弱眼淚輪迴成金剛拳頭有趣嗎有趣嗎你終於可以領會什麼叫做因果你終於可以學學你給我的一課你總算沒有辜負我對你的祝賀終於你也有今天你那麼會讓人死心這點心痛利息都不夠你且等著命運的幽默細水長流你終於可以證明世上真有因果你終於可以做做你給我的惡夢你千萬不要辜負我對你的祝賀祝你年年有今天
紅衣女孩,"['為什麼蒙娜莉莎不是一頭紅髮', '為什麼你的咖啡不是一杯紅茶', '為什麼所有誓約披上的是白紗', '為什麼你的領結不是一朵紅花', '藍蘋果 怎麼畫 怎麼畫', '綠舞鞋 怎麼搭 怎麼搭', '黑屏幕 怎麼滑 怎麼滑', '欸 聽不懂 就去 玩沙', '紅玫瑰 開了嗎 開了嗎', '紅燭光 點了吧 點了吧', '紅衣裳 髒了嗎 髒了嗎', '欸 你害的 看我 幹嘛', '誰恨我 我加倍', '誰愛我 我反饋', '我是鮮血 我是火焰 我代表危險', '若思念留下遺言', '我會聽見 你對紅色 偏執的偏見', '為什麼鋼琴琴鍵 只能黑白交雜？', '為什麼投降丟的 不是紅色手帕？', '藍蘋果 怎麼畫 怎麼畫', '綠舞鞋 怎麼搭 怎麼搭', '黑屏幕 怎麼滑 怎麼滑', '欸 聽不懂 就去 玩沙', '紅玫瑰 開了嗎 開了嗎', '紅燭光 點了吧 點了吧', '紅衣裳 髒了嗎 髒了嗎', '欸 你害的 看我 幹嘛', '為什麼你的啤酒 不是紅莓沙瓦？']",為什麼蒙娜莉莎不是一頭紅髮為什麼你的咖啡不是一杯紅茶為什麼所有誓約披上的是白紗為什麼你的領結不是一朵紅花藍蘋果怎麼畫怎麼畫綠舞鞋怎麼搭怎麼搭黑屏幕怎麼滑怎麼滑欸聽不懂就去玩沙紅玫瑰開了嗎開了嗎紅燭光點了吧點了吧紅衣裳髒了嗎髒了嗎欸你害的看我幹嘛誰恨我我加倍誰愛我我反饋我是鮮血我是火焰我代表危險若思念留下遺言我會聽見你對紅色偏執的偏見為什麼鋼琴琴鍵只能黑白交雜？為什麼投降丟的不是紅色手帕？藍蘋果怎麼畫怎麼畫綠舞鞋怎麼搭怎麼搭黑屏幕怎麼滑怎麼滑欸聽不懂就去玩沙紅玫瑰開了嗎開了嗎紅燭光點了吧點了吧紅衣裳髒了嗎髒了嗎欸你害的看我幹嘛為什麼你的啤酒不是紅莓沙瓦？
甜秘密,"['覺得很想你 覺得很想要你', '內心裡 各種翻雲覆雨', '我知道你隨時隨地都可以', '我享受你渴望的每個細節', '喜歡你偷偷吞口水的喉結', '我沒在懷疑 別問給不給你', '我還沒有玩膩 請你別猴急', '扒開人面的獸心 馴服在我的手心', '立正站好乖乖地', '你到底多淘氣 你有多調皮 你 被我調戲 是不是超開心', '你 被弄來弄去 你 甘心樂意 高超的 甜秘密', '忍耐的表情 急迫的肢體 好有趣', '請求的耳語 無助的呻吟 好憐惜', '你扭曲又變形 好神奇', '我好像舞蛇女 催眠控制你', '呼來喚去 你讓我駕馭 讓我駕馭', '終於終於 我無法抗拒 無法抗拒']",覺得很想你覺得很想要你內心裡各種翻雲覆雨我知道你隨時隨地都可以我享受你渴望的每個細節喜歡你偷偷吞口水的喉結我沒在懷疑別問給不給你我還沒有玩膩請你別猴急扒開人面的獸心馴服在我的手心立正站好乖乖地你到底多淘氣你有多調皮你被我調戲是不是超開心你被弄來弄去你甘心樂意高超的甜秘密忍耐的表情急迫的肢體好有趣請求的耳語無助的呻吟好憐惜你扭曲又變形好神奇我好像舞蛇女催眠控制你呼來喚去你讓我駕馭讓我駕馭終於終於我無法抗拒無法抗拒
我對我,"['感謝這挑剔性格', '絕不肯將就言和', '從不滿意所謂合格', '對每個我攻無不克', '參賽者越來越多', '天敵卻只有一個', '號角一響頭也不回', '我眼中只瞄準我', '讓我拿下  上個我', '造的傳說(記錄用來打破)', '騎士精神  不超越', '等於墜落(不原地蹉跎)', '讓我吞下  上個我', '攝取養份(進化成下個我)', '虎視眈眈的人太多', '我只在乎一個對手', '是種承諾   我和我這無盡戰鬥', '十年地下之城的磨煉', '才造就了這個   最倔強的傑作', '是種執著   好玩在認真地玩樂', '十年之後棋逢這敵手', '進化到幾次代   就讓我期待我', '都怪這好戰性格', '沒事就自我挑撥', '鋼管絲帶空中玩耍', '遇強更強從不退縮', '城內的怪物越多', '我目標越是清徹', '氣定神閒團長之風', '見招拆招從不寂寞', '讓我拿下  上個我', '造的寶座(記錄創了又破)', '騎士精神  不向上', '讓我吞下  上個我', '去蕪存菁(進化成下個我)', '虎視眈眈的人太多', '本人只有一個對手', '是種承諾   我和我這無盡戰鬥', '十年地下之城的磨煉', '才造就了這個   最驕傲的傑作', '是種執著   好玩在認真地玩樂', '十年之後棋逢這敵手', '完美到多可怕   我都想更新過']",感謝這挑剔性格絕不肯將就言和從不滿意所謂合格對每個我攻無不克參賽者越來越多天敵卻只有一個號角一響頭也不回我眼中只瞄準我讓我拿下上個我造的傳說(記錄用來打破)騎士精神不超越等於墜落(不原地蹉跎)讓我吞下上個我攝取養份(進化成下個我)虎視眈眈的人太多我只在乎一個對手是種承諾我和我這無盡戰鬥十年地下之城的磨煉才造就了這個最倔強的傑作是種執著好玩在認真地玩樂十年之後棋逢這敵手進化到幾次代就讓我期待我都怪這好戰性格沒事就自我挑撥鋼管絲帶空中玩耍遇強更強從不退縮城內的怪物越多我目標越是清徹氣定神閒團長之風見招拆招從不寂寞讓我拿下上個我造的寶座(記錄創了又破)騎士精神不向上讓我吞下上個我去蕪存菁(進化成下個我)虎視眈眈的人太多本人只有一個對手是種承諾我和我這無盡戰鬥十年地下之城的磨煉才造就了這個最驕傲的傑作是種執著好玩在認真地玩樂十年之後棋逢這敵手完美到多可怕我都想更新過
